name,Var2,zstep_source
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_017.mat,300,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_018.mat,300,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_019.mat,300,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_020.mat,300,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_021.mat,300,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_022.mat,300,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_023.mat,300,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_024.mat,300,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_025.mat,300,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_026.mat,300,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_027.mat,300,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_028.mat,300,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_029.mat,300,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_030.mat,300,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_031.mat,300,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_032.mat,300,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_033.mat,300,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_034.mat,300,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_035.mat,300,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_036.mat,300,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_037.mat,300,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_038.mat,300,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_039.mat,300,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_040.mat,200,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_041.mat,200,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_042.mat,200,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_043.mat,200,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_044.mat,200,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_045.mat,200,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_046.mat,200,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_047.mat,200,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_048.mat,200,OCT4_label_z
